File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::passSelection(QListWidgetItem *item),3,1,1,0,0,0,2,8,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,"GUI::singleImage(QLabel *image, QString file)",3,2,2,0,0,0,1,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::loadMDWindow(),4,3,3,0,0,0,1,8,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::loadExportWindow(QAction *t),5,4,4,0,0,0,1,1,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::changeHist(QRect roi),9,8,6,1,0,0,1,5,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::selection(QAction* action),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,"GUI::processSelection(int selection, bool checked, QString saveName, bool fpsChecked, int fpsValue, int numGPU)",16,15,10,3,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\main.cpp,"main(int argc, char *argv[])",7,5,5,1,0,0,2,5,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MenuBar.cpp,GUI::on_action_Open_triggered(),20,11,8,1,3,0,6,27,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MenuBar.cpp,GUI::on_action_Edit_triggered(),3,1,1,0,2,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Metadata.cpp,Metadata::Metadata(QWidget *parent),27,24,22,0,3,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Metadata.cpp,Metadata::~Metadata(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Metadata.cpp,Metadata::saveMetadata(),33,25,25,0,8,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MultiGPU.cpp,"MultiGPU::MultiGPU(QStringList filenames, const std::vector< std::unique_ptr<ResizableRubberband> > *rbs, QString saveName, bool checked, bool fpsChecked, int fpsValue, int numGPU)",111,78,61,13,19,0,14,46,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MultiGPU.cpp,MultiGPU::~MultiGPU(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::PixmapLabel(QWidget* parent),3,3,3,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::~PixmapLabel(),2,1,1,0,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::setPixmapLabel(QPixmap p),4,4,4,0,0,0,0,0,
